Wed Jan 15 14:31:50 2025    profiling-output

         709733 function calls (690256 primitive calls) in 6.802 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    165/1    0.001    0.000    6.802    6.802 {built-in method builtins.exec}
       17    0.001    0.000    0.003    0.000 /usr/lib/python3.12/collections/__init__.py:355(namedtuple)
     3695    0.001    0.000    0.006    0.000 {built-in method builtins.next}
     3818    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      126    0.001    0.000    0.002    0.000 /usr/lib/python3.12/re/_compiler.py:467(_get_charset_prefix)
       43    0.001    0.000    0.008    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/urllib3/response.py:122(decompress)
     2772    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      194    0.001    0.000    0.007    0.000 /usr/lib/python3.12/re/_compiler.py:511(_compile_info)
     4482    0.001    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:2062(descendants)
      388    0.001    0.000    0.002    0.000 /usr/lib/python3.12/enum.py:1562(__and__)
      899    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:449(_uniq)
      194    0.001    0.000    0.123    0.001 /usr/lib/python3.12/re/_compiler.py:740(compile)
     1376    0.001    0.000    0.002    0.000 /usr/lib/python3.12/re/_parser.py:172(__setitem__)
    52/14    0.001    0.000    0.017    0.001 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_parser.py:911(parse_selectors)
    217/3    0.001    0.000    0.292    0.097 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
       10    0.001    0.000    0.005    0.001 /usr/lib/python3.12/enum.py:919(_convert_)
     3010    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      325    0.001    0.000    1.081    0.003 /usr/lib/python3.12/ssl.py:1237(recv_into)
      808    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:372(_escape)
     3115    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     1461    0.001    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:1544(_get_value)
     2503    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      259    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
    192/3    0.001    0.000    0.291    0.097 <frozen importlib._bootstrap>:911(_load_unlocked)
     2481    0.001    0.000    0.002    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_parser.py:307(match)
      192    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     6626    0.001    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:1586(__bool__)
      195    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
       77    0.001    0.000    0.005    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_parser.py:462(parse_attribute_selector)
      194    0.001    0.000    0.076    0.000 /usr/lib/python3.12/re/_parser.py:969(parse)
      164    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      259    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
     2563    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
    443/7    0.001    0.000    0.291    0.042 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     2334    0.001    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
      926    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      325    0.001    0.000    1.082    0.003 /usr/lib/python3.12/socket.py:693(readinto)
     1015    0.001    0.000    0.002    0.000 /usr/lib/python3.12/re/_compiler.py:398(_simple)
       19    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
     2334    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      172    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
       21    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     2671    0.001    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/builder/__init__.py:453(set_up_substitutions)
      328    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     2523    0.000    0.000    0.000    0.000 /usr/lib/python3.12/html/parser.py:127(clear_cdata_mode)
      156    0.000    0.000    0.002    0.000 /usr/lib/python3.12/typing.py:175(_type_check)
     2670    0.000    0.000    0.000    0.000 /usr/lib/python3.12/_markupbase.py:36(getpos)
     1111    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      164    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     1940    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      353    0.000    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:850(__setattr__)
       16    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
     2521    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     1901    0.000    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:2203(_normalize_search_value)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      259    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/html/entities.py:1(<module>)
     1362    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    6.511    6.511 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex04/financial.py:14(fetch_financial_data)
      412    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:265(getwhile)
    163/3    0.000    0.000    0.291    0.097 <frozen importlib._bootstrap_external>:989(exec_module)
  136/131    0.000    0.000    0.003    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_parser.py:385(freeze)
       67    0.000    0.000    0.001    0.000 /usr/lib/python3.12/functools.py:35(update_wrapper)
      194    0.000    0.000    0.045    0.000 /usr/lib/python3.12/re/_compiler.py:573(_code)
      136    0.000    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_parser.py:359(__init__)
  192/188    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      500    0.000    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:726(__call__)
      349    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1188(__setattr__)
      325    0.000    0.000    1.081    0.003 /usr/lib/python3.12/ssl.py:1095(read)
      194    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/idna/idnadata.py:1(<module>)
      486    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      162    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
