Wed Jan 15 14:32:11 2025    profiling-output

         709732 function calls (690255 primitive calls) in 2.061 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3352    0.003    0.000    0.016    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:2303(search)
    11623    0.003    0.000    0.004    0.000 /usr/lib/python3.12/re/_parser.py:256(match)
    10118    0.003    0.000    0.003    0.000 {built-in method builtins.min}
      338    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     5845    0.003    0.000    0.004    0.000 /usr/lib/python3.12/re/_parser.py:176(append)
     1428    0.003    0.000    0.003    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/__init__.py:648(_linkage_fixer)
      162    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      726    0.002    0.000    0.007    0.000 {method 'sub' of 're.Pattern' objects}
      309    0.002    0.000    0.130    0.000 /usr/lib/python3.12/re/__init__.py:280(_compile)
        1    0.002    0.002    0.002    0.002 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/requests/models.py:909(text)
     9578    0.002    0.000    0.003    0.000 /usr/lib/python3.12/re/_parser.py:164(__len__)
     1715    0.002    0.000    0.012    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:2240(search_tag)
      9/7    0.002    0.000    0.003    0.000 {built-in method _imp.create_dynamic}
      229    0.002    0.000    0.172    0.001 {method 'read' of '_io.BufferedReader' objects}
       34    0.002    0.000    0.022    0.001 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:792(_find_all)
     2701    0.002    0.000    0.003    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/__init__.py:523(string_container)
       16    0.002    0.000    0.005    0.000 /usr/lib/python3.12/enum.py:1708(convert_class)
     1838    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     8568    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
5808/5740    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
      259    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     5464    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
      272    0.002    0.000    0.002    0.000 /usr/lib/python3.12/re/_compiler.py:386(_mk_bitmap)
        9    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     2606    0.001    0.000    0.003    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:178(handle_data)
     5783    0.001    0.000    0.008    0.000 /usr/lib/python3.12/html/__init__.py:122(unescape)
       53    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      163    0.001    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     5462    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     4482    0.001    0.000    0.002    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:2062(descendants)
    218/3    0.001    0.000    0.295    0.098 <frozen importlib._bootstrap>:1349(_find_and_load)
      215    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     4184    0.001    0.000    0.002    0.000 /usr/lib/python3.12/re/_parser.py:293(tell)
     3761    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      259    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:304(acquire)
     5873    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     2670    0.001    0.000    0.002    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:1371(is_empty_element)
      325    0.001    0.000    0.005    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_parser.py:1094(selector_iter)
     2671    0.001    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/builder/__init__.py:205(can_be_empty_element)
     3695    0.001    0.000    0.007    0.000 {built-in method builtins.next}
      917    0.001    0.000    0.002    0.000 /usr/lib/python3.12/re/_compiler.py:216(_compile_charset)
      217    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:416(__enter__)
      326    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     1100    0.001    0.000    0.002    0.000 /usr/lib/python3.12/re/_parser.py:312(_class_escape)
     7668    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     4690    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:113(__init__)
       17    0.001    0.000    0.003    0.000 /usr/lib/python3.12/collections/__init__.py:355(namedtuple)
       19    0.001    0.000    0.179    0.009 {method 'join' of 'bytes' objects}
     2727    0.001    0.000    0.002    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/__init__.py:773(handle_data)
    165/1    0.001    0.000    2.061    2.061 {built-in method builtins.exec}
      194    0.001    0.000    0.007    0.000 /usr/lib/python3.12/re/_compiler.py:511(_compile_info)
